# The phyletic profiles are given as one HOG (at its root level)
# per row, starting with a group identifier, followed by the number
# of entries per species in the group as columns. The first row
# contains the species for each column.
Group	SE001_aa	SE002_aa	SE003_aa
HOG00001	1	0	1
HOG00002	1	0	1
HOG00003	1	0	1
HOG00004	1	0	1
HOG00005	1	0	1
HOG00006	1	0	1
HOG00007	1	0	1
HOG00008	1	0	1
HOG00009	1	0	1
HOG00010	1	0	1
HOG00011	1	0	1
HOG00012	1	0	1
HOG00013	1	0	1
HOG00014	1	0	1
HOG00015	1	0	1
HOG00016	1	0	1
HOG00017	1	0	1
HOG00018	1	0	1
HOG00019	1	0	1
HOG00020	1	0	1
HOG00021	1	0	1
HOG00022	1	0	1
HOG00023	1	0	1
HOG00024	1	0	1
HOG00025	1	0	1
HOG00026	1	0	1
HOG00027	1	0	1
HOG00028	1	0	1
HOG00029	1	0	1
HOG00030	1	0	1
HOG00031	1	0	1
HOG00032	1	0	1
HOG00033	1	0	1
HOG00034	1	0	1
HOG00035	1	0	1
HOG00036	1	0	1
HOG00037	1	0	1
HOG00038	1	0	1
HOG00039	1	0	1
HOG00040	1	0	1
HOG00041	1	0	1
HOG00042	1	0	1
HOG00043	1	0	1
HOG00044	1	0	1
HOG00045	1	0	1
HOG00046	1	0	1
HOG00047	1	0	1
HOG00048	1	0	1
HOG00049	1	0	1
HOG00050	1	0	1
