# The groups of orthologs are given as matrix with group per row
# and one genome per tab-separated column. Numbers refer to
# entry number as listed in the file "Map-SeqNum-id.map.
# Alternatively, use the OrthologousGroup.txt representation.
SE001_aa	SE002_aa	SE003_aa
0	26	26
0	1	1
16	16	16
0	2	2
0	32	32
0	9	9
0	42	42
0	29	29
36	36	36
30	30	30
0	38	38
0	50	50
0	12	12
0	31	31
0	33	33
0	49	49
0	4	4
20	20	20
0	40	40
0	13	13
25	25	25
0	7	7
0	17	17
0	11	11
0	34	34
28	28	28
0	23	23
0	37	37
19	19	19
0	39	39
0	8	8
48	48	48
0	5	5
0	18	18
0	27	27
0	22	22
0	14	14
44	44	44
0	15	15
21	21	21
0	6	6
43	43	43
0	3	3
41	41	41
0	47	47
0	10	10
0	35	35
0	46	46
0	24	24
0	45	45
