# The phyletic profiles are given as one OMA Group per row, starting
# with a group identifier, followed by a presents/absents indicator
# (i.e. 0 := absent, 1: present) per species in the group as columns.
# The first row contains the species for each column.
Group	SE001_aa	SE002_aa	SE003_aa
OMA00001	0	1	1
OMA00002	0	1	1
OMA00003	1	1	1
OMA00004	0	1	1
OMA00005	0	1	1
OMA00006	0	1	1
OMA00007	0	1	1
OMA00008	0	1	1
OMA00009	1	1	1
OMA00010	1	1	1
OMA00011	0	1	1
OMA00012	0	1	1
OMA00013	0	1	1
OMA00014	0	1	1
OMA00015	0	1	1
OMA00016	0	1	1
OMA00017	0	1	1
OMA00018	1	1	1
OMA00019	0	1	1
OMA00020	0	1	1
OMA00021	1	1	1
OMA00022	0	1	1
OMA00023	0	1	1
OMA00024	0	1	1
OMA00025	0	1	1
OMA00026	1	1	1
OMA00027	0	1	1
OMA00028	0	1	1
OMA00029	1	1	1
OMA00030	0	1	1
OMA00031	0	1	1
OMA00032	1	1	1
OMA00033	0	1	1
OMA00034	0	1	1
OMA00035	0	1	1
OMA00036	0	1	1
OMA00037	0	1	1
OMA00038	1	1	1
OMA00039	0	1	1
OMA00040	1	1	1
OMA00041	0	1	1
OMA00042	1	1	1
OMA00043	0	1	1
OMA00044	1	1	1
OMA00045	0	1	1
OMA00046	0	1	1
OMA00047	0	1	1
OMA00048	0	1	1
OMA00049	0	1	1
OMA00050	0	1	1
