# The groups of orthologs are given as matrix with group per row
# and one genome per tab-separated column. Numbers refer to
# entry number as listed in the file "Map-SeqNum-id.map.
# Alternatively, use the OrthologousGroup.txt representation.
SE001_aa	SE002_aa	SE003_aa
24	24	24
8	8	8
23	23	23
26	26	26
43	43	43
28	28	28
11	11	11
40	40	40
36	36	36
13	13	13
34	34	34
39	39	39
45	45	45
32	32	32
12	12	12
46	46	46
47	47	47
33	33	33
9	9	9
15	15	15
38	38	38
7	7	7
17	17	17
48	48	48
42	42	42
27	27	27
50	50	50
1	1	1
30	30	30
4	4	4
49	49	49
41	41	41
10	10	10
5	5	5
29	29	29
35	35	35
19	19	19
18	18	18
16	16	16
22	22	22
2	2	2
21	21	21
37	37	37
3	3	3
20	20	20
25	25	25
14	14	14
44	44	44
6	6	6
31	31	31
